"","pred","true","w","index"
"1",5.72096666666667,7.33333333333333,6,7
"2",5.52262222222222,8.33333333333333,6,8
"3",7.0791888888889,8,6,9
"4",6.22967777777779,8,6,10
"5",7.88115555555555,8,6,11
"6",8.11802222222222,8,6,12
"7",8.01531111111111,8.33333333333333,6,13
"8",8.14664444444446,5,6,14
"9",7.96211111111111,7,6,15
"10",7.19382222222223,8,6,16
"11",7.1099,8.33333333333333,6,17
"12",7.79294444444444,8.66666666666667,6,18
"13",7.95687777777778,9.33333333333333,6,19
"14",7.8622,7.33333333333333,6,20
"15",7.64467777777778,4,6,21
"16",5.58888888888889,4.33333333333333,6,22
"17",4.55714444444444,4.66666666666667,6,23
"18",8.01318888888889,8.33333333333333,6,24
"19",7.56131111111113,7.66666666666667,6,25
"20",7.67284444444444,7.33333333333333,6,26
"21",5.86178888888889,7.33333333333333,6,27
"22",7.22797777777777,7.66666666666667,6,28
"23",7.56764444444444,8.33333333333333,6,29
"24",7.99734444444448,7.66666666666667,6,30
"25",7.60212222222221,8.33333333333333,6,31
"26",7.85566666666668,8.66666666666667,6,32
"27",8.04603333333333,8.33333333333333,6,33
"28",8.20083333333334,5.66666666666667,6,34
"29",7.49633333333332,7,6,35
"30",7.1265,7.66666666666667,6,36
"31",7.00743333333334,6.66666666666667,6,37
"32",7.73361111111111,2.66666666666667,6,38
"33",5.56843333333333,5.33333333333333,6,39
"34",4.33353333333334,9.33333333333333,6,40
"35",6.86997777777778,4.33333333333333,6,41
"36",5.8287888888889,4,6,42
"37",5.83013333333334,7.66666666666667,6,43
"38",4.94757777777778,8.33333333333333,6,44
"39",6.70556666666667,8.33333333333333,6,45
"40",7.66621111111111,8.66666666666667,6,46
"41",7.71132222222224,8.66666666666667,6,47
"42",6.97724444444443,8.66666666666667,6,48
"43",8.4756222222222,9,6,49
"44",8.74023333333331,8.66666666666667,6,50
"45",8.66615555555553,8.66666666666667,6,51
"46",8.68799999999996,8.66666666666667,6,52
"47",8.6948333333333,8.33333333333333,6,53
"48",8.58142222222221,9,6,54
"49",8.68457777777777,8,6,55
"50",8.62697777777776,8.33333333333333,6,56
"51",8.40572222222224,8.66666666666667,6,57
"52",8.46557777777777,8.66666666666667,6,58
"53",8.49732222222221,8.33333333333333,6,59
"54",8.46665555555556,9,6,60
"55",8.43101111111111,9,6,61
"56",8.67312222222223,8.33333333333333,6,62
"57",8.52412222222225,7.66666666666667,6,63
"58",8.18678888888889,6.33333333333333,6,64
"59",7.74451111111112,9.33333333333333,6,65
"60",8.35121111111111,7.66666666666667,6,66
"61",8.05860000000001,8.33333333333333,6,67
"62",8.0299888888889,8.66666666666667,6,68
"63",7.93477777777779,6.66666666666667,6,69
